[A1,[A1_Low,[A1_High, B2, B2_Low, B2_High, C3, C3_Low, C3_High, A2, A2_Low, A2_High, B3, B3_Low, B3_High, A3, A3_Low, A3_High, C1, C1_Low, C1_High, B1, B1_Low, B1_High, C2], C2]_Low, C2]_High,[ADVISE,[ADVISE_Low,[ADVISE_High, VISIT, VISIT_Low, VISIT_High, TAKES], TAKES]_Low, TAKES]_High
68,0.07425742574257424,0.9257425742574258,64,0.27227722772277224,0.7277227722772278,51,0.9158415841584158,0.08415841584158429,20,0,1,64,0.27227722772277224,0.7277227722772278,85,0,1,81,0,1,62,0.37128712871287123,0.6287128712871287,51,0.9158415841584158,0.08415841584158429,0,0,1,0,0,1,1,0,1,
39,0,1,33,0,1,37,0,1,99,0,1,42,0,1,20,0,1,78,0,1,61,0.4207920792079207,0.5792079207920793,45,0,1,1,0,1,0,0,1,0,0,1,
97,0,1,14,0,1,85,0,1,35,0,1,14,0,1,1,0,1,64,0.27227722772277224,0.7277227722772278,64,0.27227722772277224,0.7277227722772278,23,0,1,0,0,1,0,0,1,1,0,1,
22,0,1,54,0.7673267326732672,0.23267326732673277,93,0,1,39,0,1,63,0.32178217821782173,0.6782178217821783,84,0,1,81,0,1,41,0,1,26,0,1,1,0,1,0,0,1,0,0,1,
77,0,1,68,0.07425742574257424,0.9257425742574258,NULL,NULL,NULL,69,0.02475247524752475,0.9752475247524752,NULL,NULL,NULL,98,0,1,NULL,NULL,NULL,80,0,1,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
44,0,1,47,0,1,98,0,1,77,0,1,73,0,1,1,0,1,19,0,1,53,0.8168316831683167,0.18316831683168328,9,0,1,0,0,1,1,0,1,0,0,1,
48,0,1,71,0,1,NULL,NULL,NULL,91,0,1,NULL,NULL,NULL,86,0,1,NULL,NULL,NULL,10,0,1,NULL,NULL,NULL,0,0,1,1,0,1,0,0,1,
78,0,1,0,0,1,55,0.7178217821782177,0.28217821782178226,6,0,1,59,0.5198019801980197,0.4801980198019803,31,0,1,76,0,1,54,0.7673267326732672,0.23267326732673277,47,0,1,0,0,1,0,0,1,1,0,1,
11,0,1,20,0,1,78,0,1,57,0.6188118811881187,0.38118811881188125,56,0.6683168316831682,0.33168316831683176,81,0,1,43,0,1,93,0,1,56,0.6683168316831682,0.33168316831683176,0,0,1,0,0,1,1,0,1,
71,0,1,76,0,1,NULL,NULL,NULL,83,0,1,3,0,1,31,0,1,NULL,NULL,NULL,91,0,1,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
58,0.5693069306930693,0.4306930693069308,31,0,1,73,0,1,38,0,1,86,0,1,100,0,1,26,0,1,82,0,1,28,0,1,0,0,1,1,0,1,0,0,1,
